,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111
STACY JILL,VENOM/EDDIE BROCK,SPIDER-MAN/PETER PAR,PARKER MAY,STACY ARTHUR,ROBERTSON JOE,FORTUNATO GIACOMO J,MORBIUS/DR. MICHAEL ,LEEDS BETTY BRANT,KINGPIN/WILSON FISK,WATSON-PARKER MARY ,WARD SEN. STEWART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLADE,ROBERTSON JOE,FORTUNATO GIACOMO J,MORBIUS/DR. MICHAEL ,SPIDER-MAN/PETER PAR,LEEDS BETTY BRANT,KINGPIN/WILSON FISK,STACY JILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBERTSON JOE,SPIDER-MAN CLONE/BEN,JAMESON J. JONAH,RAVEN LT. JACOB,KRAVEN THE HUNTER/SE,SPIDER-MAN/PETER PAR,KINGPIN/WILSON FISK,LIGHTMASTER/EDWARD L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORTUNATO GIACOMO J,ROBERTSON JOE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORBIUS/DR. MICHAEL ,ROBERTSON JOE,FORTUNATO GIACOMO J,SPIDER-MAN/PETER PAR,THOMPSON EUGENE FLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEEDS BETTY BRANT,ROBERTSON JOE,FORTUNATO GIACOMO J,MORBIUS/DR. MICHAEL ,SPIDER-MAN/PETER PAR,JAMESON J. JONAH,DOLMAN,URICH BEN,KWAN TERRY,OVERRIDE/DR. GREGORY,ICEMAN/ROBERT BOBBY ,WATSON-PARKER MARY ,THOMPSON EUGENE FLA,THORSON DR. WALTER,MAXWELL MORRIS,WARD SEN. STEWART,PARKER MAY,STACY JILL,BULLSEYE II/BENJAMIN,KINGPIN/WILSON FISK,VULTURE II/BLACKIE D,OSBORN HARRY,STACY CAPT. GEORGE,HOBGOBLIN II/RODERIC,HOBGOBLIN III/LEFTY ,TOWER BLAKE,CYCLOPS/SCOTT SUMMER,HOGAN HAROLD J. HAP,SUB-MARINER/NAMOR MA,THOR/DR. DONALD BLAK,GREEN GOBLIN/NORMAN ,BEAST/HENRY &HANK& P,WASP/JANET VAN DYNE ,DR. STRANGE/STEPHEN ,WONG,HULK/DR. ROBERT BRUC,INVISIBLE WOMAN/SUE ,IRON MAN/TONY STARK ,THING/BENJAMIN J. GR,MR. FANTASTIC/REED R,OSBORN LIZ ALLAN,ANGEL/WARREN KENNETH,HUMAN TORCH/JOHNNY S,CAPTAIN AMERICA,SUNDOWN/DR. DAVE LOW,ANT-MAN/DR. HENRY J.,WATSON ANNA,KRAVEN THE HUNTER/SE,SANDMAN/WILLIAM BAKE,DR. OCTOPUS/OTTO OCT,DAREDEVIL/MATT MURDO,LEEDS NED,MYSTERIO/QUENTIN BEC,BIG MAN/FREDERICK FO,FANCY DAN,MONTANA,OX,WARREN MR.,CHAMELEON/DMITRI SME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KINGPIN/WILSON FISK,ROBERTSON JOE,FORTUNATO GIACOMO J,MORBIUS/DR. MICHAEL ,SPIDER-MAN/PETER PAR,LEEDS BETTY BRANT,WATSON-PARKER MARY ,WARD SEN. STEWART,PARKER MAY,STACY JILL,THOMPSON EUGENE FLA,BULLSEYE II/BENJAMIN,SHIFFMAN MAXIE,CYCLOPS/SCOTT SUMMER,BEYONDER,OSBORN LIZ ALLAN,JAMESON J. JONAH,KRAVEN THE HUNTER/SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GARTH DONNA,ZOMBIE/SIMON GARTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOMBIE/SIMON GARTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATSON-PARKER MARY ,JAMESON J. JONAH,DOLMAN,URICH BEN,KWAN TERRY,OVERRIDE/DR. GREGORY,ICEMAN/ROBERT BOBBY ,LEEDS BETTY BRANT,KAINE,SPIDER-MAN CLONE/BEN,RAVEN LT. JACOB,ROBERTSON JOE,JACK,PARKER MAY,GREEN GOBLIN IV/PHIL,STACY GWEN (CLONE),SPIDER-MAN/PETER PAR,SPIDERCIDE,BUCKNER GRANT,ELLIS KEN,STUNNER/ANGELINA BRA,TRAINER DR. SEWARD,WATSON ANNA,TOWER BLAKE,LOCKER MR.,D'SPAYRE,GRANT GLORIA GLORY,SILVERMANE/SILVIO MA,OSBORN LIZ ALLAN,SLOAN DR.,BLACK CAT/FELICIA HA,HOBGOBLIN II/RODERIC,HOBGOBLIN III/LEFTY ,UATU,BANNON LANCE,MUGGINS MAMIE,THINKER,HOCHBERG ROGER,LIZARD/DR. CURTIS CO,BEYONDER,KINGPIN/WILSON FISK,THOMPSON EUGENE FLA,TARANTULA/ANTON MIGU,VULTURE/ADRIAN TOOME,MORGAN,HITMAN/LT. BURT KENY,MORBIUS/DR. MICHAEL ,SHA SHAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATSON ANNA,WATSON-PARKER MARY ,PARKER MAY,SPIDER-MAN CLONE/BEN,JAMESON J. JONAH,RAVEN LT. JACOB,ROBERTSON JOE,JACK,KAINE,SPIDER-MAN/PETER PAR,GUARDIAN IV,JACKAL/MILES WARREN,PUNISHER II/FRANK CA,GRANT GLORIA GLORY,THUNDERBALL/DR. ELIO,FROG-MAN II/EUGENE P,LUBENSKI NATE,VULTURE/ADRIAN TOOME,KRAVEN THE HUNTER/SE,KINGPIN/WILSON FISK,LIGHTMASTER/EDWARD L,TARANTULA/ANTON MIGU,LIZARD/DR. CURTIS CO,THOMPSON EUGENE FLA,MORBIUS/DR. MICHAEL ,ANT-MAN/DR. HENRY J.,WARREN MR.,OSBORN LIZ ALLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPAULDING PETER,MACHINE MAN/X-51,THING/BENJAMIN J. GR,JOCASTA,GARVIN GEARS,ULTRON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MACHINE MAN/X-51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOCASTA,MACHINE MAN/X-51,THING/BENJAMIN J. GR,HERCULES [GREEK GOD],JARVIS EDWIN ,VISION ,BLACK PANTHER/T'CHAL,IRON MAN/TONY STARK ,BLACK WIDOW/NATASHA ,ANT-MAN/DR. HENRY J.,MOON KNIGHT/MARC SPE,CAPTAIN AMERICA,ANGEL/WARREN KENNETH,THOR/DR. DONALD BLAK,TIGRA/GREER NELSON,BEAST/HENRY &HANK& P,WASP/JANET VAN DYNE ,WONDER MAN/SIMON WIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GARVIN GEARS,MACHINE MAN/X-51,THING/BENJAMIN J. GR,JOCASTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ULTRON,MACHINE MAN/X-51,THING/BENJAMIN J. GR,JOCASTA,GARVIN GEARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALDRONE JAVIER,JAMESON J. JONAH,DOLMAN,URICH BEN,KWAN TERRY,OVERRIDE/DR. GREGORY,ICEMAN/ROBERT BOBBY ,WATSON-PARKER MARY ,THOMPSON EUGENE FLA,SPIDER-MAN/PETER PAR,THORSON DR. WALTER,MAXWELL MORRIS,LEEDS BETTY BRANT,LUMLEY JUDY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMESON J. JONAH,GRANT GLORIA GLORY,FAIRMONT HANNAH,PARKER MAY,SPIDER-MAN CLONE/BEN,ROBERTSON JOE,LEEDS BETTY BRANT,VULTURE II/BLACKIE D,OSBORN HARRY,STACY CAPT. GEORGE,JACKAL/MILES WARREN,STACY GWEN,WATSON ANNA,SILVERMANE/SILVIO MA,WATSON-PARKER MARY ,GREEN GOBLIN III/BAR,SPIDER-MAN/PETER PAR,HOBGOBLIN II/RODERIC,HOBGOBLIN III/LEFTY ,UATU,BLACK CAT/FELICIA HA,BEYONDER,OSBORN LIZ ALLAN,KINGPIN/WILSON FISK,CYCLOPS/SCOTT SUMMER,HOGAN HAROLD J. HAP,THOMPSON EUGENE FLA,SUB-MARINER/NAMOR MA,THOR/DR. DONALD BLAK,GREEN GOBLIN/NORMAN ,BEAST/HENRY &HANK& P,WASP/JANET VAN DYNE ,ICEMAN/ROBERT BOBBY ,DR. STRANGE/STEPHEN ,WONG,HULK/DR. ROBERT BRUC,INVISIBLE WOMAN/SUE ,IRON MAN/TONY STARK ,THING/BENJAMIN J. GR,MR. FANTASTIC/REED R,ANGEL/WARREN KENNETH,HUMAN TORCH/JOHNNY S,CAPTAIN AMERICA,SUNDOWN/DR. DAVE LOW,MCKEEVER TINY,IONELLO JASON,DAREDEVIL/MATT MURDO,DR. OCTOPUS/OTTO OCT,MYSTERIO/QUENTIN BEC,BIG MAN/FREDERICK FO,FANCY DAN,MONTANA,GAMBONNO ERNESTO,KRAVEN THE HUNTER/SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOLMAN,JAMESON J. JONAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URICH BEN,JAMESON J. JONAH,DOLMAN,HOCHBERG ROGER,SPIDER-MAN/PETER PAR,SLOAN DR.,BLACK CAT/FELICIA HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KWAN TERRY,JAMESON J. JONAH,DOLMAN,URICH BEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVERRIDE/DR. GREGORY,JAMESON J. JONAH,DOLMAN,URICH BEN,KWAN TERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICEMAN/ROBERT BOBBY ,JAMESON J. JONAH,DOLMAN,URICH BEN,KWAN TERRY,OVERRIDE/DR. GREGORY,BEAST/HENRY &HANK& P,DRAGON OF THE MOON,ANDROMEDA/ANDROMEDA ,SOUTHERN CANDY,ANGEL/WARREN KENNETH,HUMAN TORCH/JOHNNY S,GARGOYLE II/ISAAC CH,BEYONDER,NORRISS SISTER BARB,MANSLAUGHTER,INTERLOPER,MOONDRAGON/HEATHER D,MR. FANTASTIC/REED R,HERCULES [GREEK GOD],JARVIS EDWIN ,VISION ,BLACK PANTHER/T'CHAL,IRON MAN/TONY STARK ,BLACK WIDOW/NATASHA ,ANT-MAN/DR. HENRY J.,MOON KNIGHT/MARC SPE,CAPTAIN AMERICA,THOR/DR. DONALD BLAK,TIGRA/GREER NELSON,JOCASTA,DAZZLER II/ALLISON B,WASP/JANET VAN DYNE ,WONDER MAN/SIMON WIL,SCARLET WITCH/WANDA ,HAWK,SUMMERS NATHAN CHRI,CYCLOPS/SCOTT SUMMER,PLANTMAN/SAM SMITHER,MARVEL GIRL/JEAN GRE,HENDERSHOOT COLONEL,PORCUPINE/ALEX GENTR,COUNT NEFARIA LUCHI,FREDERICKS GENERAL,SUPREME ONE,BLOB/FRED J. DUKES,PROFESSOR X/CHARLES ,LUCIFER,UNUS THE UNTOUCHABLE,MIMIC/CALVIN RANKIN,KUKULCAN/VIRAKO/QUET,TOLOC,RAMON,ROBERTS TED,PUPPET MASTER/PHILLI,SPIDER-MAN/PETER PAR,ZELDA,LOCUST,EL TIGRE,BANSHEE/SEAN CASSIDY,HOGAN HAROLD J. HAP,THOMPSON EUGENE FLA,SUB-MARINER/NAMOR MA,GREEN GOBLIN/NORMAN ,PARKER MAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THOMPSON EUGENE FLA,JAMESON J. JONAH,DOLMAN,URICH BEN,KWAN TERRY,OVERRIDE/DR. GREGORY,ICEMAN/ROBERT BOBBY ,WATSON-PARKER MARY ,WARD SEN. STEWART,PARKER MAY,SPIDER-MAN/PETER PAR,STACY JILL,SPIDERCIDE,SPIDER-MAN CLONE/BEN,JACKAL/MILES WARREN,JACK,CAPUTO DR. JULIA,KAINE,RAVEN LT. JACOB,TREVANE DET. CONNOR,SHIFFMAN MAXIE,CYCLOPS/SCOTT SUMMER,KINGPIN/WILSON FISK,OSBORN LIZ ALLAN,MCKEEVER TINY,ROBERTSON JOE,LIGHTMASTER/EDWARD L,SHA SHAN,GRANT GLORIA GLORY,VULTURE/ADRIAN TOOME,MORGAN,HITMAN/LT. BURT KENY,HOGAN HAROLD J. HAP,ANT-MAN/DR. HENRY J.,WATSON ANNA,KRAVEN THE HUNTER/SE,MR. FANTASTIC/REED R,SANDMAN/WILLIAM BAKE,DR. OCTOPUS/OTTO OCT,THING/BENJAMIN J. GR,HUMAN TORCH/JOHNNY S,DAREDEVIL/MATT MURDO,INVISIBLE WOMAN/SUE ,WASP/JANET VAN DYNE ,LEEDS NED,CAPTAIN AMERICA,LEEDS BETTY BRANT,GREEN GOBLIN/NORMAN ,BROMWELL DR.,MYSTERIO/QUENTIN BEC,BIG MAN/FREDERICK FO,FANCY DAN,MONTANA,OX,HULK/DR. ROBERT BRUC,WARREN MR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THORSON DR. WALTER,JAMESON J. JONAH,DOLMAN,URICH BEN,KWAN TERRY,OVERRIDE/DR. GREGORY,ICEMAN/ROBERT BOBBY ,WATSON-PARKER MARY ,THOMPSON EUGENE FLA,SPIDER-MAN/PETER PAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAXWELL MORRIS,JAMESON J. JONAH,DOLMAN,URICH BEN,KWAN TERRY,OVERRIDE/DR. GREGORY,ICEMAN/ROBERT BOBBY ,WATSON-PARKER MARY ,THOMPSON EUGENE FLA,SPIDER-MAN/PETER PAR,THORSON DR. WALTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUMLEY JUDY,JAMESON J. JONAH,DOLMAN,URICH BEN,KWAN TERRY,OVERRIDE/DR. GREGORY,ICEMAN/ROBERT BOBBY ,WATSON-PARKER MARY ,THOMPSON EUGENE FLA,SPIDER-MAN/PETER PAR,THORSON DR. WALTER,MAXWELL MORRIS,LEEDS BETTY BRANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRANT GLORIA GLORY,ROBERTSON JOE,SPIDER-MAN/PETER PAR,THOMPSON EUGENE FLA,MORBIUS/DR. MICHAEL ,SHA SHAN,TARANTULA/ANTON MIGU,WATSON-PARKER MARY ,LIGHTMASTER/EDWARD L,JAMESON J. JONAH,KRAVEN THE HUNTER/SE,KINGPIN/WILSON FISK,LIZARD/DR. CURTIS CO,PARKER MAY,WATSON ANNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAIRMONT HANNAH,GRANT GLORIA GLORY,VOLLA,CASE COL. PRESTON,PERRIKUS,BRADLEY HANK,HAWK,THOR/DR. DONALD BLAK,COLLINS DEMITRIUS,KINCAID DR. JANE FO,HELA [ASGARDIAN],SCARLET WITCH/WANDA ,DESTROYER III,IRON MAN/TONY STARK ,MAJESTON ZELIA,SPIDER-MAN/PETER PAR,ADVA,DIAMOND CHUCKY,THING/BENJAMIN J. GR,KINCAID DR. KEITH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCCORMICK BARRY,GRANT GLORIA GLORY,FAIRMONT HANNAH,PARKER MAY,JAMESON J. JONAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOKKOTS,GRANT GLORIA GLORY,FAIRMONT HANNAH,PARKER MAY,JAMESON J. JONAH,MCCORMICK BARRY,SPIDER-MAN/PETER PAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR THIEF II,ICEMAN/ROBERT BOBBY ,NORRISS SISTER BARB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GARGOYLE II/ISAAC CH,ICEMAN/ROBERT BOBBY ,NORRISS SISTER BARB,STAR THIEF II,BEAST/HENRY &HANK& P,SOUTHERN CANDY,MANSLAUGHTER,INTERLOPER,MOONDRAGON/HEATHER D,ANDROMEDA/ANDROMEDA ,DRAGON OF THE MOON,ANGEL/WARREN KENNETH,HUMAN TORCH/JOHNNY S,WHIZZER II/STANLEY S,ARCANNA/ARCANNA JONE,MAKKARI/MIKE KHARY/I,KRONOS,LORD CHAOS,BALLANTINE KAYLA,EON,QUASAR III/WENDELL V,DR. SPECTRUM/JOSEPH ,TANAKA KENJIRO,LADY LARK/LINDA LEWI,GARFIELD MURRAY,SHAPE,HYPERION,SERGEI,MAELSTROM/MALCOLM ST,JACK OF HEARTS/JACK ,RED GUARDIAN III/DR.,POWER PRINCESS/ZARDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUBIK,ICEMAN/ROBERT BOBBY ,NORRISS SISTER BARB,STAR THIEF II,GARGOYLE II/ISAAC CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOUD,ICEMAN/ROBERT BOBBY ,NORRISS SISTER BARB,STAR THIEF II,GARGOYLE II/ISAAC CH,KUBIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANSLAUGHTER,ICEMAN/ROBERT BOBBY ,NORRISS SISTER BARB,STAR THIEF II,GARGOYLE II/ISAAC CH,KUBIK,CLOUD,BEAST/HENRY &HANK& P,ANDROMEDA/ANDROMEDA ,SOUTHERN CANDY,DRAGON OF THE MOON,ANGEL/WARREN KENNETH,HUMAN TORCH/JOHNNY S,BEYONDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTHERN CANDY,BEAST/HENRY &HANK& P,ICEMAN/ROBERT BOBBY ,DRAGON OF THE MOON,ANDROMEDA/ANDROMEDA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERLOPER,BEAST/HENRY &HANK& P,ICEMAN/ROBERT BOBBY ,SOUTHERN CANDY,MANSLAUGHTER,NORRISS SISTER BARB,DRAGON OF THE MOON,ANDROMEDA/ANDROMEDA ,ANGEL/WARREN KENNETH,HUMAN TORCH/JOHNNY S,GARGOYLE II/ISAAC CH,BEYONDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOONDRAGON/HEATHER D,BEAST/HENRY &HANK& P,ICEMAN/ROBERT BOBBY ,SOUTHERN CANDY,MANSLAUGHTER,NORRISS SISTER BARB,INTERLOPER,DRAGON OF THE MOON,ANDROMEDA/ANDROMEDA ,ANGEL/WARREN KENNETH,HUMAN TORCH/JOHNNY S,GARGOYLE II/ISAAC CH,BEYONDER,HERCULES [GREEK GOD],JARVIS EDWIN ,VISION ,BLACK PANTHER/T'CHAL,IRON MAN/TONY STARK ,BLACK WIDOW/NATASHA ,ANT-MAN/DR. HENRY J.,MOON KNIGHT/MARC SPE,CAPTAIN AMERICA,THOR/DR. DONALD BLAK,TIGRA/GREER NELSON,JOCASTA,WASP/JANET VAN DYNE ,WHIZZER II/STANLEY S,ARCANNA/ARCANNA JONE,MAKKARI/MIKE KHARY/I,KRONOS,LORD CHAOS,BALLANTINE KAYLA,EON,QUASAR III/WENDELL V,DRAGONFLY/VERONICA D,OVERMIND/GROM,4-D MAN/MERCURIO,BI-BEAST II,RED GUARDIAN III/DR.,EGO-PRIME,TANAKA KENJIRO,DR. SPECTRUM/JOSEPH ,STRANGER,JAKAR,POWER PRINCESS/ZARDA,SHANGA,CHARM,TRUTH,BEAUTY,LADY LARK/LINDA LEWI,HYPERION,USAGENT/CAPTAIN JOHN,MEGGAN,NIGHTCRAWLER/KURT WA,WIDGET,REJECT/RAN-SAK [DEVI,KRO [DEVIANT],WONDER MAN/SIMON WIL,MASTER ELO,TUTINAX,BLOOD BROTHERS,ELO,HAYWIRE/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRAGON OF THE MOON,BEAST/HENRY &HANK& P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUMAN TORCH/JOHNNY S,BEAST/HENRY &HANK& P,DRAGON OF THE MOON,ANDROMEDA/ANDROMEDA ,SOUTHERN CANDY,ANGEL/WARREN KENNETH,THING/BENJAMIN J. GR,CAPTAIN AMERICA,INVISIBLE WOMAN/SUE ,GLADIATOR II,CYCLOPS/SCOTT SUMMER,HOGAN HAROLD J. HAP,THOMPSON EUGENE FLA,SUB-MARINER/NAMOR MA,THOR/DR. DONALD BLAK,GREEN GOBLIN/NORMAN ,PARKER MAY,WASP/JANET VAN DYNE ,ICEMAN/ROBERT BOBBY ,SPIDER-MAN/PETER PAR,DR. STRANGE/STEPHEN ,WONG,HULK/DR. ROBERT BRUC,IRON MAN/TONY STARK ,MR. FANTASTIC/REED R,OSBORN LIZ ALLAN,JAMESON J. JONAH,LEEDS BETTY BRANT,RICHARDS FRANKLIN B,ANNIHILUS,MASTERS ALICIA REIS,ANT-MAN/DR. HENRY J.,WATSON ANNA,KRAVEN THE HUNTER/SE,SANDMAN/WILLIAM BAKE,DR. OCTOPUS/OTTO OCT,ROSENTHAL BERNIE,NOVA II/FRANKIE RAYE,CAPTAIN MARVEL II/MO,SHE-HULK/JENNIFER WA,SCARLET WITCH/WANDA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEYONDER,BEAST/HENRY &HANK& P,DRAGON OF THE MOON,ANDROMEDA/ANDROMEDA ,SOUTHERN CANDY,ANGEL/WARREN KENNETH,HUMAN TORCH/JOHNNY S,GARGOYLE II/ISAAC CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DR. OCTOPUS/OTTO OCT,WATSON-PARKER MARY ,WARD SEN. STEWART,PARKER MAY,SPIDER-MAN/PETER PAR,STACY JILL,THOMPSON EUGENE FLA,BULLSEYE II/BENJAMIN,KINGPIN/WILSON FISK,LEEDS BETTY BRANT,STACY ARTHUR,JAMESON J. JONAH,ANT-MAN/DR. HENRY J.,WATSON ANNA,KRAVEN THE HUNTER/SE,MR. FANTASTIC/REED R,SANDMAN/WILLIAM BAKE,OSBORN LIZ ALLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
